,!=,(,),*,+,++,",",-,--,.,:,:=,;,<,<=,=,==,>,>=,chiqap,chiqaq,chiqi,hatun_ruray,id,imprimiy,kutipay,mana,mana_chiqaq,mana_sichus,num,para,qillqa,ruray,sichus,texto,utaq,var,wan,yupay,{,},$
termino,factor termino_tail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
opciones,funcion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
factor,unidad,,,,,,,- unidad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Else_opcional,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,mana_sichus argumentosELseIf Block,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon
Bucle,bucle_infinito,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
opciones_operador_comparacion,!=,,,,,,,,,,,,,<,<=,,==,>,>=,,,,,,,,,,,,,,,,,,,,,,,
logical_expression,,,,,,,,,,,,,,,,,,,,,,,,,,,mana ( expression ),,,,,,,,,,,,,,,
DeclaracionVariables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,var ListaIdentificadores Type InicializacionOpt ;,,,,,
Instruccion,DeclaracionVariables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
operaciones_matematicas,termino expresion_tail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ArgumentPrint,opciones MasArgumentosPrint,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon
bucle_infinito,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,para Block,,,,,,,,,,,
datos,IDENTIFICADOR_TOKEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPERADOR_LOGICO_UTAQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,utaq,,,,,,
InicializacionOpt,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,= opciones,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon
valor,funcion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
comparacion,logical_expression,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPERADOR_ASIGNACION,,,,,,,,,,,,:=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Block,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{ Instrucciones },,
ParamList,Param MoreParams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
compa,opciones opciones_operador_comparacion opciones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPERADOR_LOGICO_WAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wan,,,,
YUPAY_TOKEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,num,,,,,,,,,,,,
opciones_operador_logico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,utaq,,wan,,,,
Estructura_If,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sichus ( opciones ) Block Else_opcional,,,,,,,,
IDENTIFICADOR_TOKEN,,,,,,,,,,,,,,,,,,,,,,,,id,,,,,,,,,,,,,,,,,,
FunctionDef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ruray IDENTIFICADOR_TOKEN ( ParamListOpt ) TypeOpt Block,,,,,,,,,
expresion_tail,,,,,+ termino expresion_tail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LoopUpdate,operaciones_matematicas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LoopInitialization,IDENTIFICADOR_TOKEN := asignacion_bucle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
for,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,para ( LoopInitialization ; opciones ; LoopUpdate ) Block,,,,,,,,,,,
CHIQI_TOKEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,num . num,,,,,,,,,,,,
MasIdentificadores,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,", IDENTIFICADOR_TOKEN MasIdentificadores",epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon
unidad,valor,( operaciones_matematicas ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Retorno,,,,,,,,,,,,,,,,,,,,,,,,,,kutipay IDENTIFICADOR_TOKEN ;,,,,,,,,,,,,,,,,
argumentosFuncion,opciones MasArgumentosFuncion,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon
expression,compa expression_conti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
while,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,para ( opciones ) Block,,,,,,,,,,,
Type,,,,,,,,,,,,,,,,,,,,chiqap,,chiqi,,,,,,,,,,qillqa,,,,,,,yupay,,,
Program,DefinitionList Principal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MoreParams,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,", Param MoreParams",epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon
Instrucciones,Instruccion Instrucciones,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon
Principal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ruray hatun_ruray ( ) Block,,,,,,,,,
ListaIdentificadores,IDENTIFICADOR_TOKEN MasIdentificadores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
argumentosELseIf,epsilon,( opciones ),epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon
PrintStmt,,,,,,,,,,,,,,,,,,,,,,,,,imprimiy ( ArgumentPrint ) ;,,,,,,,,,,,,,,,,,
asignacion_bucle,datos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QILLQA_TOKEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,texto,,,,,,,
DefinitionList,FunctionDef DefinitionList,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon
expression_conti,opciones_operador_logico expression,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon,epsilon
